"System Field","Arabic UI Label","English UI Label",Module,Definition,"Data Type",Required?,"User Input / System",Validation,Source,Example,"Related Table"
contract_id,العقد,Contract,Contracts,"The contract the transaction executes.","BIGINT FK",Conditional,"User input","Mandatory on contractor transactions above the approved threshold (VR-29)","File 2 Journal col W",CT-0004,journal_lines
work_package_id,"حزمة العمل","Work Package",Contracts,"The work package within the contract.","BIGINT FK",Optional,"User input",—,"File 2 Journal col X",WP-ROAD-EXT-01,journal_lines
doc_status,"حالة المستند","Document Status",Documents,"Whether the supporting evidence is complete, partial or missing.",VARCHAR(15),Required,"User input","Partial and Missing automatically raise an exception that cannot be deleted (VR-13)","File 2 Journal col AH",Complete,journal_headers
doc_ref,"مرجع المستند","Document Reference",Documents,"The reference of the supporting document.",VARCHAR(100),Conditional,"User input","Mandatory when doc_status is Complete (VR-14)","File 2 Journal col AB",PCSH9/2025/00025,documents
source_presence,"مصدر الحركة","Source Presence",Migration,"Which historical source workbook or population the entry came from.",VARCHAR(120),Conditional,Migration,"Mandatory on migrated entries; one of the approved source values","File 1 Journal col P","AMER + NEW VERSION",journal_headers
source_reference,"مرجع المصدر","Source Reference",Migration,"The identifier of the transaction in its source document.",VARCHAR(120),Conditional,Migration,"Mandatory on migrated entries","File 1 Journal col Q","AMER-1 / ABS-10",journal_headers
source_amount,"مبلغ المصدر","Source Amount",Migration,"The amount stated in the source document, retained for reconciliation.","DECIMAL(19,0) NULL",Optional,Migration,—,"File 1 Journal col S",63118500,journal_lines
amount_difference,"فرق المبلغ","Amount Difference",Migration,"System amount less source amount. Any non-zero value raises an exception.","DECIMAL(19,0) NULL",System-computed,System,"Must be zero or carry an open exception","File 1 Journal col T",0,journal_lines
recon_status,"حالة المطابقة","Reconciliation Status",Controls,"The reconciliation outcome for the entry against its source.",VARCHAR(60),Conditional,"System / user","One of the nine approved values","File 1 Journal col R","MATCHED / مطابق",journal_headers
status,"حالة القيد","Journal Status",Workflow,"Position in the posting workflow.",VARCHAR(15),Required,System,"Draft → Submitted → Reviewed → Approved → Posted; Posted → Reversed only",—,Posted,journal_headers
is_migration,"قيد ترحيل","Migration Entry",Migration,"Marks an entry loaded from the historical workbooks rather than captured in the system.",BIT,Required,System,"May not be set after the go-live cut-off (VR-54)",—,1,journal_headers
account_code,"رمز الحساب","Account Code","Master Data","The six-digit approved account code.",VARCHAR(10),Required,"User input","Unique; may not be changed once transactions exist","File 1 COA col A",115033,accounts
is_posting,"تسجيل / غير تسجيل","Posting / Non-Posting","Master Data","Whether the account may be posted to directly.",BIT,Required,"User input","Non-posting parents reject all postings (VR-04)","File 1 COA col F",1,accounts
is_active,"نشط / غير نشط","Active / Inactive","Master Data","Whether the account is open for use.",BIT,Required,"User input","Inactive accounts reject all postings; deactivation requires a nil balance","File 1 COA col G",1,accounts
normal_balance,الطبيعة,"Normal Balance","Master Data","Whether the account normally carries a debit or a credit balance.",CHAR(2),Required,"System-derived from account type, overridable","Dr for assets and expenses, Cr for liabilities, equity and revenue","Derived from File 1 COA col D",Dr,accounts
fs_line_id,"بند القائمة المالية","Financial Statement Line",Reporting,"The statement line the account maps to.",VARCHAR(20),Required,Configuration,"Every posting account must map to exactly one line per statement","Document C tab ""Financial Statement Mapping""",SFP-A-040,report_mappings
sign,"إشارة العرض","Display Sign",Reporting,"The sign applied when presenting the account balance on the statement line.",SMALLINT,Required,Configuration,"Either +1 or −1","Document C tab ""Financial Statement Mapping""",-1,report_mappings
book_balance,"الرصيد الدفتري","Book Balance",Cash,"The cash account balance computed from posted transactions.","DECIMAL(19,0)",Required,"System-computed — never writable","Recomputed on every read (VR-57)","File 2 Cash Position",0,reconciliations
actual_balance,"الرصيد الفعلي","Reconciled Actual Balance",Cash,"The balance per the bank statement or the physical cash count.","DECIMAL(19,0)",Required,"User input","Requires a supporting document and a responsible accountant (VR-58)","File 2 Cash Position",0,reconciliations
variance,الفرق,Variance,Cash,"Book balance less actual balance.","DECIMAL(19,0)",System-computed,System,"A non-zero variance leaves the account unreconciled and raises an exception","File 2 Cash Position",0,reconciliations
gov_share_rate,"نسبة حصة الحكومة","Government Share Rate","Revenue & Government Share","The percentage of eligible revenue payable to the State Company for Land Transport.","DECIMAL(5,4)",Required,Parameter,"Effective-dated; never hardcoded (VR-43)","File 2 Setup / Policy 14",0.2000,parameters
revenue_eligible,"مؤهل لحصة الحكومة","Eligible for Government Share","Revenue & Government Share","Whether the revenue line enters the government share base.","BIT NULL",Conditional,"User input","Mandatory on every 410xxx line; exclusions require a documented reason (VR-44)","File 2 Gov Share sheet",1,journal_lines
commercial_operation_date,"تاريخ التشغيل التجاري","Commercial Operation Date","Concession & CIP","The date operations commence, from which amortization begins.","DATE NULL",Conditional,"Parameter, set only by the Finance Manager with a board reference","NULL until confirmed; the system may never infer it (VR-39)","File 2 Setup / Contract Register","To be defined / يُحدد لاحقاً",parameters
settlement_deadline,"تاريخ استحقاق التسوية","Settlement Deadline",Advances,"The date by which the advance must be settled.","DATE NULL","Required for new advances","User input","Drives the aging report and the overdue exception (RE-13)","Assignment §11",2024-03-31,advances
evidence_status,"حالة الإثبات","Evidence Status",Advances,"Whether the settlement is evidenced, pending evidence or unevidenced.",VARCHAR(25),Required,"User input","Pending Evidence keeps the amount in the advance and raises an exception","File 1 Yas Jassim Expense Audit","Pending Evidence",advance_settlements
exception_no,"رقم الاستثناء","Exception Number",Controls,"Unique identifier of an exception.",VARCHAR(20),Required,System-generated,"Unique; never reused; the row may never be deleted (VR-59)","File 2 Exceptions sheet",EXC-2024-0031,exceptions
old_value,"القيمة السابقة","Previous Value",Audit,"The value of the field before the change.",NVARCHAR(MAX),System,System,"Written on every tracked change","Assignment §24",115099,audit_logs
new_value,"القيمة الجديدة","New Value",Audit,"The value of the field after the change.",NVARCHAR(MAX),System,System,"Written on every tracked change","Assignment §24",610019,audit_logs
reason,"سبب التغيير","Reason for Change",Audit,"The justification recorded with the change.",NVARCHAR(1000),"Required on change","User input","Mandatory on reversal, reclassification, period reopen and parameter change","Assignment §24","إعادة تبويب معتمدة من مجلس الإدارة",audit_logs
