Level,Field,"Arabic Label","English Label",Origin,Obligation,Validation,"Source column"
Line,resp_center_id,"مركز المسؤولية","Responsibility Center","User / derived",Conditional,"Required on advance transactions","File 2 col L"
Line,counterparty_id,"الطرف المقابل",Counterparty,User,Conditional,"Per accounts.requires_counterparty","File 1 col E · File 2 col V"
Line,advance_holder_id,"صاحب العهدة","Advance Holder",User,Conditional,"Required on advance accounts","File 1 col E"
Line,cash_account_id,"الحساب النقدي","Cash / Bank Account",User,Conditional,"Required on 111xxx lines","File 2 col U"
Line,funding_source_id,"مصدر التمويل","Funding Source",User,Conditional,"Required on funding transactions","File 2 col R"
Line,funding_batch_id,"دفعة التمويل","Funding Batch","User / Migration",Conditional,"Required on funding-chain transactions","File 2 col S · File 1 col Q"
Line,funding_category_id,"تصنيف التمويل","Funding Category",User,Conditional,"One of eleven approved values","File 1 col AA"
Line,chain_step,"خطوة السلسلة","Funding Chain Step","System / User",Conditional,"Account pair must match the step","File 1 col Z"
Line,contract_id,العقد,Contract,User,Conditional,"Required above the approved threshold","File 2 col W"
Line,work_package_id,"حزمة العمل","Work Package",User,Optional,—,"File 2 col X"
Line,capex_opex,"رأسمالي / تشغيلي","CAPEX / OPEX",User,Conditional,"Must agree with the account class","File 2 col Y"
Line,asset_class,"تصنيف الأصل","Asset Class",User,Conditional,"Required on asset lines","File 2 col Z"
Line,handover_req,"متطلب التسليم","Handover Requirement",User,Conditional,"Required on 115xxx and 118xxx lines","File 2 col AA"
Line,revenue_eligible,"مؤهل لحصة الحكومة","Eligible for Government Share",User,Conditional,"Required on 410xxx lines","File 2 Gov Share sheet"
Line,actual_payment_source,"مصدر الدفع الفعلي","Actual Payment Source",User,Optional,"Audit field only — never used in a posting rule","File 2 col T"
Line,actual_receiver,"المستلم الفعلي","Actual Receiver",User,Optional,—,"File 1 col AC"
Line,source_amount,"مبلغ المصدر","Source Amount",Migration,Optional,"Retained for reconciliation","File 1 col S"
Line,amount_difference,"فرق المبلغ","Amount Difference",System,System,"Non-zero raises an exception","File 1 col T"
Line,recon_status,"حالة المطابقة (سطر)","Line Reconciliation Status","System / User",Conditional,"One of nine approved values","File 2 col AI"
Line,notes,ملاحظات,Notes,User,Optional,"Review and control notes","File 1 col O"
Line,duplicate_flag,"تدقيق الازدواجية","Duplicate Review",System,Conditional,"Raised by the duplicate service or carried from the source","File 1 col U"
Line,date_comparison,"مقارنة التاريخ","Date Comparison",Migration,Conditional,"One of five approved values","File 1 col Y"
Line,amer_match_ref,"مرجع المطابقة بالمصدر","Source Match Reference",Migration,Optional,"Cross-source matching evidence","File 1 cols V, W, X"
