"Dimension / Field",Code,Value,Arabic,"Source of the value","Entries in the ledger"
"Reconciliation Status",,"DESCRIPTION DIFFERENCE / فرق بيان",,"File 1 COA master list",
"Reconciliation Status",,"DUPLICATE / مكرر",,"File 1 COA master list",
"Reconciliation Status",,"MISSING FROM JOURNAL / غير مدخل",,"File 1 COA master list",
"Reconciliation Status",,"JOURNAL ONLY / موجود في القيود فقط",,"File 1 COA master list",
"Reconciliation Status",,"REQUIRES CORRECTION / يحتاج تصحيح",,"File 1 COA master list",
"Duplicate Review",,"NO DUPLICATE / لا يوجد ازدواج",,"File 1 COA master list",
"Duplicate Review",,"POSSIBLE AMER DUPLICATE / ازدواج محتمل مع عامر",,"File 1 COA master list",
"Duplicate Review",,"CONFIRMED AMER MATCH / مطابقة مؤكدة مع عامر",,"File 1 COA master list",
"Duplicate Review",,"REQUIRES MANUAL REVIEW / يتطلب مراجعة يدوية",,"File 1 COA master list",
"Date Comparison",,"DATE MATCH / تاريخ مطابق",,"File 1 COA master list",
"Date Comparison",,"DATE DIFFERENCE / اختلاف تاريخ",,"File 1 COA master list",
"Date Comparison",,"SOURCE DATE MISSING / تاريخ المصدر غير متوفر",,"File 1 COA master list",
"Date Comparison",,"AMER DATE MISSING / تاريخ عامر غير متوفر",,"File 1 COA master list",
"Date Comparison",,"NOT APPLICABLE / لا ينطبق",,"File 1 COA master list",
"Date Status",,OK,,"File 1 Journal Ledger column N",884
"Date Status",,"⚠ NO DATE IN SOURCE — not fabricated",,"File 1 Journal Ledger column N",211
"Date Status",,"Missing Date / التاريخ غير متوفر",,"File 1 Journal Ledger column N",73
"Date Status",,"Inconsistent Date / تاريخ غير متسق",,"File 1 Journal Ledger column N",27
"CAPEX / OPEX",,CAPEX,,"File 2 _lists",
"CAPEX / OPEX",,OPEX,,"File 2 _lists",
"CAPEX / OPEX",,n/a,,"File 2 _lists",
"Asset Class",,"Concession CIP",,"File 2 _lists",
"Asset Class",,"Concession Right",,"File 2 _lists",
"Asset Class",,"Fixed Asset (Retained)",,"File 2 _lists",
"Asset Class",,Advance,,"File 2 _lists",
"Asset Class",,Expense,,"File 2 _lists",
"Asset Class",,Payable,,"File 2 _lists",
"Asset Class",,Receivable,,"File 2 _lists",
"Asset Class",,n/a,,"File 2 _lists",
"Handover Requirement",,"Government-Owned / Titled",,"File 2 _lists / Policy 6",
"Handover Requirement",,"Handover Required at Expiry",,"File 2 _lists / Policy 6",
"Handover Requirement",,"Retained by SHH",,"File 2 _lists / Policy 6",
"Handover Requirement",,"Classification Pending",,"File 2 _lists / Policy 6",
"Document Status",,Complete,,"File 2 _lists",
"Document Status",,Partial,,"File 2 _lists",
"Document Status",,Missing,,"File 2 _lists",
"Journal Status",,Draft,,"Workflow definition",
"Journal Status",,Submitted,,"Workflow definition",
"Journal Status",,Reviewed,,"Workflow definition",
"Journal Status",,Approved,,"Workflow definition",
"Journal Status",,Posted,,"Workflow definition",
"Journal Status",,Reversed,,"Workflow definition",
"Period Status",,Open,,"Period management definition",
"Period Status",,"Soft Close",,"Period management definition",
"Period Status",,"Final Close",,"Period management definition",
"Period Status",,Locked,,"Period management definition",
